0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,999,1160,1163,1166,1163,1250,1411,1394,1260,1331,384,801,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,423,309,299,348,352,367,393,477,528,568,131,292,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,99,102,..,..,205,219,247,266,311,373,288,307,363,326,253,280,244,287,270,277,332,451,466,490,515,168,334,
,,Travel,Travel,,US$ Millions,,IMF,72,73,153,179,169,165,195,191,229,292,206,224,278,241,187,219,203,261,242,248,294,412,418,443,482,148,283,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,27,29,..,..,36,54,52,75,82,81,82,83,85,85,66,61,41,26,28,29,38,39,48,47,33,20,51,
EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,1/,CB,7,13,7,7,8,19,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
,,Travel,Travel,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source:  household survey by ""Statistics Estonia""."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  household survey by ""Statistics Estonia""."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,,1764,1547,1616,1659,1780,1800,1658,1849,2075,..,..,438,677,692,752,955,1054,1147,1166,1426,1250,1339,1279,2069,1702,558,575,"1/ Source:  household survey by ""Statistics Estonia""."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  household survey by ""Statistics Estonia""."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,121,141,162,197,255,253,253,305,404,486,530,706,804,939,..,..,..,..,1236,1346,1169,1299,1395,1647,1808,676,793,"1/ Source:  household survey by ""Statistics Estonia""."
,,Travel,Travel,,US$ Millions,,IMF,91,101,120,155,215,204,192,231,319,399,439,586,670,809,605,633,806,796,1059,1181,1026,1162,1247,1463,1545,593,680,"1/ Source:  household survey by ""Statistics Estonia""."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,30,40,42,42,40,49,61,74,85,87,91,120,134,130,..,..,..,..,177,165,143,137,148,184,263,83,113,"1/ Source:  household survey by ""Statistics Estonia""."
ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,1082,1072,1130,1177,1245,1141,1264,1403,1573,1657,1713,1789,1751,1717,1721,488,295,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,45,44,40,60,35,32,31,..,23,54,60,54,63,59,98,87,35,53,48,62,64,33,74,43,35,36,42,
,,Travel,Travel,,US$ Millions,,IMF,43,42,38,58,34,31,30,26,22,48,49,49,51,46,72,61,30,44,38,54,50,30,65,41,34,36,41,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,2,2,2,2,1,1,1,..,1,6,11,5,12,13,26,26,5,9,10,8,14,3,9,2,1,0,1,
ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,120,133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,30,30,48,51,57,80,50,55,63,59,..,..,..,..,139,..,..,..,..,..,..,461,364,613,661,323,642,
,,Travel,Travel,,US$ Millions,,IMF,25,25,40,46,51,74,44,45,50,58,77,97,107,156,138,143,170,181,214,283,372,461,356,612,661,322,640,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,5,5,8,5,6,6,6,10,13,1,..,..,..,..,1,..,..,..,..,..,..,..,8,1,..,1,2,
FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,68,72,74,78,89,83,85,99,104,94,109,121,120,124,125,128,132,132,..,..,..,156,169,174,174,40,14,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,82,88,87,67,82,96,84,79,88,118,132,113,106,108,108,102,116,110,105,99,115,119,138,160,174,77,74,
,,Travel,Travel,,US$ Millions,,IMF,64,70,69,52,66,83,65,55,70,94,106,101,92,93,95,88,98,91,91,89,104,109,128,149,165,75,74,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,18,18,18,15,16,13,19,24,18,24,26,12,14,15,13,14,18,19,14,10,11,10,10,11,9,2,1,
FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,6668,6428,6413,6566,6693,7485,8238,9978,9526,9783,10022,10278,10480,10480,10440,2690,2270,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,2/,,5147,4918,5233,4743,5314,5914,5824,5857,5585,5798,5902,5756,5749,5854,5832,6633,7274,9055,8562,8731,8904,9125,9330,9450,9410,2330,1810,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,766,672,664,712,861,852,964,923,964,1052,1118,1153,1150,1030,1030,360,450,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,2853,2760,2541,2565,2525,2293,2442,2440,2956,3385,3620,4099,4812,5577,5236,5268,6013,5841,6387,6326,5786,6199,6740,7223,6841,1914,1562,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
,,Travel,Travel,,US$ Millions,,IMF,2278,2285,2080,2062,2035,1852,1852,2008,2435,2823,3056,3424,3983,4544,4404,4305,4882,4887,5297,5305,4796,5191,5610,6072,5678,1646,1377,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,575,475,461,503,490,441,590,432,521,562,564,675,829,1033,832,963,1131,954,1090,1021,990,1008,1130,1151,1163,268,185,"1/ Finnish Travel  survey.  2/ Overnight trips abroad, including cruises abroad with overnight on board  only."
FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,27107,33144,30960,30646,29973,31153,29642,30457,31941,30608,29636,44265,48069,49276,21287,22007,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,18686,18151,17115,18077,16709,19886,19265,18315,18576,21131,22480,22240,28103,25506,25140,25041,26155,25317,26062,27919,26648,26483,29055,30509,30407,11937,13681,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,4867,5041,5454,5506,4932,4998,4325,4395,4023,3960,3153,15209,17560,18868,9350,8326,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,20699,22049,..,..,31630,29016,28781,30270,35807,36362,38633,39319,46042,50373,45087,46695,55509,50068,52444,58464,47713,49029,53787,59131,59754,30493,37653,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
,,Travel,Travel,,US$ Millions,,IMF,16358,17748,17490,18819,25204,22537,22611,23779,28075,29469,31347,32347,37898,40928,36991,38297,44725,39836,42183,48777,39521,40436,44192,49464,50507,27758,34648,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,2/,IMF,4341,4301,..,..,6426,6479,6170,6491,7732,6893,7286,6972,8144,9445,8096,8398,10784,10232,10261,9687,8192,8593,9595,9667,9247,2735,3005,"1/ Source: DGE.  Survey Follow-up of tourism demand (SDT). Resident population aged 15 years  and above; trips in Overseas Departments are counted together with those  abroad.  2/ 1999-2004 source: ""Banque de France""."
FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,63,65,..,..,..,..,..,..,..,..,..,..,..,..,88,89,84,83,..,48,55,48,55,47,63,12,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,264,335,425,430,..,..,388,339,335,327,300,293,312,277,226,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,180,236,311,312,122,153,159,164,160,168,158,156,169,146,152,152,177,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,84,99,114,118,..,..,229,175,175,159,142,137,143,131,74,..,..,..,..,..,
GABON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,203,187,168,189,219,236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,182,168,156,158,195,183,256,234,239,275,346,..,328,490,476,560,658,441,404,509,346,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,IMF,137,100,86,84,91,84,225,194,194,214,274,..,229,381,360,376,543,314,278,397,232,..,..,..,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,45,68,70,74,104,99,31,40,45,61,72,..,99,109,116,184,115,127,126,112,114,..,..,..,..,..,..,
GAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,387,307,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,16,16,17,..,..,..,..,..,8,6,7,8,13,12,12,14,16,13,10,55,5,7,9,10,10,4,12,
,,Travel,Travel,,US$ Millions,,IMF,14,15,16,..,..,..,..,..,4,4,5,6,13,12,12,14,16,13,10,54,4,6,7,9,9,4,12,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,2,1,1,..,..,..,..,..,4,2,2,2,..,..,..,..,..,..,0.4,1.4,1.4,1.2,1.5,1.4,0.7,0.2,0,
GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,228,219,355,433,373,315,306,317,..,466,857,1346,1473,1872,1980,2086,2237,2734,3220,3106,3136,3400,3851,3698,3780,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,171,239,135,129,136,189,170,196,237,257,277,337,311,329,384,471,537,563,609,706,853,960,1124,292,347,
,,Travel,Travel,,US$ Millions,,IMF,..,..,156,226,130,110,107,149,130,147,169,167,176,203,181,199,213,256,294,299,330,386,464,525,657,180,185,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,15,13,5,19,29,40,40,49,68,90,101,134,130,130,171,215,243,264,279,320,389,435,467,112,162,
GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source:  Eurostat.
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source:  Eurostat.
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,,..,..,55800,69200,78100,80507,81551,80393,85345,84859,86622,81801,82099,86201,85547,85872,84692,82729,87459,83008,83737,90966,92402,108542,99533,..,..,1/ Source:  Eurostat.
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source:  Eurostat.
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,66527,64725,59000,60253,61215,57607,56437,59550,72839,80321,84513,85717,96170,105691,92899,90866,99909,96196,102668,101737,85334,87412,89736,95199,93097,38752,47815,1/ Source:  Eurostat.
,,Travel,Travel,,US$ Millions,,IMF,60260,59076,53667,54423,55877,52829,51824,53052,65290,71231,74167,74153,83138,91641,81461,77566,86227,83202,91311,93284,77468,79923,89736,95199,93097,38752,47815,1/ Source:  Eurostat.
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,6267,5649,5333,5830,5338,4778,4613,6498,7549,9090,10346,11564,13032,14050,11438,13300,13682,12994,11357,8453,7866,7489,..,..,..,..,..,1/ Source:  Eurostat.
GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,168,191,222,233,260,188,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158,168,192,192,222,160,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,23,29,40,38,29,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,74,59,61,145,151,162,165,184,216,270,472,575,816,870,948,882,1026,976,982,947,1405,1571,1581,1329,1380,946,1271,
,,Travel,Travel,,US$ Millions,,IMF,21,4,4,85,91,100,105,119,138,186,303,345,558,542,684,574,464,464,473,458,737,792,693,450,328,105,414,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,53,55,57,60,60,62,60,65,78,84,169,230,258,328,264,308,562,512,509,489,668,779,888,879,1052,841,857,
GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ The information  is based on the border survey conducted by the Bank of Greece.
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ The information  is based on the border survey conducted by the Bank of Greece.
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,,..,..,..,..,..,..,..,..,..,..,..,..,..,3765,3835,3799,4941,4681,4594,5802,6291,7235,7685,7961,7848,2324,2026,1/ The information  is based on the border survey conducted by the Bank of Greece.
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ The information  is based on the border survey conducted by the Bank of Greece.
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,1495,1396,1537,..,4014,4564,4190,2456,2441,2882,3044,3005,3430,3946,4122,3400,3809,3005,3768,4003,3535,3412,3306,3910,4211,1500,2221,1/ The information  is based on the border survey conducted by the Bank of Greece.
,,Travel,Travel,,US$ Millions,,IMF,1323,1210,1327,1756,3991,4558,4178,2439,2433,2874,3038,2998,3423,3930,3383,2853,3161,2364,2435,2755,2259,2220,2156,2582,3070,898,1306,1/ The information  is based on the border survey conducted by the Bank of Greece.
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,172,186,210,..,23,6,12,17,8,8,6,7,7,16,739,547,648,641,1333,1248,1276,1192,1150,1328,1141,602,915,1/ The information  is based on the border survey conducted by the Bank of Greece.
GRENADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,40,40,38,42,52,14,15,
,,Travel,Travel,,US$ Millions,,IMF,5,5,6,6,7,8,8,8,8,9,10,16,16,11,10,10,10,11,11,18,20,21,22,24,24,7,8,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,20,19,16,18,28,7,7,
GUADELOUPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
