0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,Air,,Thousands,,,552,571,655,683,640,662,649,606,708,760,855,912,1055,1086,1030,1052,1265,1445,1475,1535,1710,1985,2569,2364,2079,423,186,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,,Water,Water,Thousands,,,8,6,13,17,20,26,34,28,37,67,75,95,104,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,,Land,Land,Thousands,,,980,872,975,1057,972,1054,1040,778,869,958,1097,1246,1348,1624,1730,1749,1872,2109,2101,2140,2768,3656,3881,3359,2439,697,4,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,,Overnights,Overnights,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,,Guests,Guests,Thousands,3/,,..,..,..,1131,968,937,883,779,850,951,1397,1460,1563,1564,1424,1399,1691,2042,2161,3151,3262,3496,4386,3916,3732,..,..,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,,Overnights,Overnights,Thousands,3/,,2145,2650,2953,2813,2108,2181,1912,1709,1947,2086,2877,3203,3605,3709,3221,3193,3775,4342,4553,6179,6499,6909,9804,8735,8025,..,..,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,,IMF,1186,1209,1401,1431,1243,1179,1184,1221,1309,1571,1608,1853,2224,2481,2380,2362,2723,3185,3192,3221,3428,3762,4136,3937,3316,911,633,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,Travel,Travel,,US$ Millions,,IMF,911,931,1103,1105,911,819,799,898,883,1095,1001,1149,1453,1594,1613,1552,1813,2177,2202,2278,2497,2683,3152,2897,2302,413,113,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,275,278,298,326,332,360,385,323,426,476,607,704,771,887,767,810,910,1008,990,943,931,1079,984,1040,1014,498,520,"1/ From 2008  including nationals residing abroad.  2/ Cruise passengers plus Arica-Tacna agreement.  3/ Due to a change in the methodology, the 2015 data are not comparable  with those of previous years. 2017: update of the sampling frame."
CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrivals,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Total arrivals,Total arrivals,Total arrivals,Thousands,1/,VF,46387,51128,57588,63478,72796,83444,89013,97908,91662,109038,120292,124942,131873,130027,126476,133762,135423,132405,129078,128499,133820,141774,153260,158606,162538,30402,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,TF,20034,22765,23770,25073,27047,31229,33167,36803,32970,41761,46809,49913,54720,53049,50875,55664,57581,57725,55686,55622,56886,59270,60740,62900,65725,7967,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,Arrivals by region,Arrivals by region,Arrivals by region,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Total,Total,,Thousands,1/,VF,46385,51128,57588,63478,72796,83444,89012,97908,91662,109038,120292,124941,131873,130027,126476,133762,135423,132405,129078,128498,133820,141774,153260,158606,162538,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Africa,Africa,Thousands,,,33,39,38,39,43,54,63,84,92,154,211,255,327,324,340,391,424,440,461,497,488,502,542,585,599,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Americas,Americas,Thousands,,,697,809,867,948,1026,1217,1278,1510,1133,1790,2146,2406,2721,2582,2491,2995,3201,3179,3124,3107,3115,3379,3540,3787,3645,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,East Asia and the Pacific,East Asia and the Pacific,Thousands,,,43789,48201,54374,60308,69278,79312,84610,92866,87214,102394,112053,115700,120956,119584,117589,122889,123828,120802,117744,117276,123308,130357,141127,146013,149698,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Europe,Europe,Thousands,,,1609,1770,2039,1896,2149,2537,2732,3007,2790,4097,5166,5769,6937,6688,5132,6366,6772,6770,6422,6209,5475,5988,6402,6531,6854,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Middle East,Middle East,Thousands,,,16,18,22,21,26,35,37,52,47,84,111,136,180,178,207,247,239,264,269,278,267,253,255,252,258,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,South Asia,South Asia,Thousands,,,108,120,131,133,161,210,277,381,383,514,599,671,749,669,714,871,957,948,1055,1125,1164,1296,1391,1280,1481,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Other not classified,Other not classified,Thousands,,,133,171,117,133,113,79,15,8,3,5,6,4,3,2,2,2,2,2,2,7,3,..,3,158,2,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,,"of which, nationals residing abroad",Thousands,,,116,155,99,121,108,75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Total,Total,,Thousands,2/,VF,..,..,..,..,..,..,..,13439,11403,16932,20255,22210,26110,24326,21938,26127,27111,27191,26290,26361,25985,31484,42943,47951,49114,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Personal,Personal,Thousands,,,..,..,..,..,..,..,..,10219,8501,13071,15657,16662,19149,18648,16701,19930,20785,20911,20096,20965,20608,25687,37246,41804,42829,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Business and professional,Business and professional,Thousands,,,..,..,..,..,..,..,..,3220,2902,3861,4598,5548,6961,5678,5237,6197,6326,6280,6194,5396,5377,5797,5697,6147,6285,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Total,Total,,Thousands,1/,VF,46387,51126,57588,63477,72796,83444,89012,97908,91661,109038,120293,124942,131872,130027,126476,133762,135423,132405,129078,128498,133820,141774,153260,158606,162538,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Air,,Thousands,,,4813,5325,5856,5559,6627,7745,8617,10343,8080,12617,14736,16500,18815,16813,16301,20014,20911,21421,20744,21086,21012,22676,23070,24448,25299,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Water,Water,Thousands,,,3997,4164,4578,3754,3814,3860,4115,4377,3787,4727,5212,5484,5920,5480,4672,5039,5082,4793,4644,4594,4540,4732,4612,4659,4229,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Land,Land,Thousands,3/,,37577,41637,47154,54164,62355,71839,76280,83188,79794,91694,100345,102958,107137,107734,105503,108709,109430,106191,103690,102818,108268,114367,125578,129500,133011,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Overnights,Overnights,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,39142,30169,43937,53258,61396,73114,75007,80392,96590,106552,116266,89924,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,,Overnights,Overnights,Thousands,,,42829,47340,53200,57925,63104,78310,86765,99360,80121,114231,138411,163680,195080,197912,215661,264123,294757,330080,243761,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,,IMF,..,..,12626,13229,15006,17318,19006,21742,18707,27755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Travel,Travel,,US$ Millions,,IMF,8730,10200,12074,12602,14098,16231,17792,20385,17406,25739,29296,33949,37233,40843,39675,45814,48464,50028,51664,44044,44969,44432,38559,40386,35832,9951,11328,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,552,627,908,1087,1214,1357,1301,2016,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Including  ethnic Chinese arriving from ""Hong Kong, China"", ""Macao,  China"", ""Taiwan, Province of China"" and overseas Chinese, of  which most same-day visitors are from ""Hong Kong, China"" and  ""Macao, China"". From 2016: including arrivals of non-residents  visitors through border areas in China. The data are not comparable with  those of previous years.  2/ Excluding ethnic Chinese arriving from ""Hong Kong, China"",  ""Macao, China"", ""Taiwan, Province of China"" and overseas  Chinese. 2016: including arrivals of non-residents visitors through border  areas in China. The data are not comparable with those of previous  years.  3/ On foot."
COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
